location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
Beijing US Embassy,Beijing,CN,2015-09-25T00:00:00.000Z,2015-09-25T08:00:00+08:00,pm25,29,µg/m³,39.95,116.47,
Shanghai,Shanghai,CN,2015-09-25T00:00:00.000Z,2015-09-25T08:00:00+08:00,pm25,34,µg/m³,31.21,121.44,
Guangzhou,Guangzhou,CN,2015-09-25T00:00:00.000Z,2015-09-25T08:00:00+08:00,pm25,24,µg/m³,23.12,113.32,
Shenyang,Shenyang,CN,2015-09-25T00:00:00.000Z,2015-09-25T08:00:00+08:00,pm25,103,µg/m³,41.78,123.42,
Chengdu,Chengdu,CN,2015-09-25T00:00:00.000Z,2015-09-25T08:00:00+08:00,pm25,36,µg/m³,30.63,104.07,
Escuela E-10,Tocopilla,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,pm10,111.1,µg/m³,-22.087,-70.193253,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Electroandina S.A.""}]"
Escuela E-10,Tocopilla,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,o3,28.31,µg/m³,-22.087,-70.193253,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Electroandina S.A.""}]"
Campiche,Puchuncaví,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,so2,12.06,µg/m³,-32.736065,-71.450827,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Puerto Ventanas S.A""}]"
Escuela E-10,Tocopilla,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,co,164,µg/m³,-22.087,-70.193253,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Electroandina S.A.""}]"
Campiche,Puchuncaví,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,co,344.6,µg/m³,-32.736065,-71.450827,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Puerto Ventanas S.A""}]"
Escuela E-10,Tocopilla,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,pm25,14.56,µg/m³,-22.087,-70.193253,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Electroandina S.A.""}]"
Escuela E-10,Tocopilla,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,no2,3.196,µg/m³,-22.087,-70.193253,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Electroandina S.A.""}]"
Camden Kerbside,London,GB,2015-09-25T00:00:00.000Z,2015-09-25T01:00:00+01:00,no2,51,µg/m³,51.54421,-0.175269,
Escuela E-10,Tocopilla,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,so2,4.698,µg/m³,-22.087,-70.193253,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Electroandina S.A.""}]"
Campiche,Puchuncaví,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,o3,36.85,µg/m³,-32.736065,-71.450827,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Puerto Ventanas S.A""}]"
London Bloomsbury,London,GB,2015-09-25T00:00:00.000Z,2015-09-25T01:00:00+01:00,pm10,13,µg/m³,51.52229,-0.125889,
Campiche,Puchuncaví,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,no2,9.195,µg/m³,-32.736065,-71.450827,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Puerto Ventanas S.A""}]"
London Eltham,London,GB,2015-09-25T00:00:00.000Z,2015-09-25T01:00:00+01:00,pm25,5,µg/m³,51.45258,0.070766,
London Haringey Priory Park South,London,GB,2015-09-25T00:00:00.000Z,2015-09-25T01:00:00+01:00,no2,28,µg/m³,51.584128,-0.125254,
Baruun 4 zam,Ulaanbaatar,MN,2015-09-25T00:00:00.000Z,2015-09-25T09:00:00+09:00,so2,1,µg/m³,47.9153833,106.8941944,"[{""name"":""Agaar.mn"",""url"":""http://agaar.mn/""},{""name"":""National Agency of Meteorology and Environmental Monitoring"",""url"":""http://namem.gov.mn""}]"
Baruun 4 zam,Ulaanbaatar,MN,2015-09-25T00:00:00.000Z,2015-09-25T09:00:00+09:00,pm10,25,µg/m³,47.9153833,106.8941944,"[{""name"":""Agaar.mn"",""url"":""http://agaar.mn/""},{""name"":""National Agency of Meteorology and Environmental Monitoring"",""url"":""http://namem.gov.mn""}]"
100 ail,Ulaanbaatar,MN,2015-09-25T00:00:00.000Z,2015-09-25T09:00:00+09:00,no2,43,µg/m³,47.9329056,106.9213833,"[{""name"":""Agaar.mn"",""url"":""http://agaar.mn/""},{""name"":""National Agency of Meteorology and Environmental Monitoring"",""url"":""http://namem.gov.mn""}]"
Baruun 4 zam,Ulaanbaatar,MN,2015-09-25T00:00:00.000Z,2015-09-25T09:00:00+09:00,co,391,µg/m³,47.9153833,106.8941944,"[{""name"":""Agaar.mn"",""url"":""http://agaar.mn/""},{""name"":""National Agency of Meteorology and Environmental Monitoring"",""url"":""http://namem.gov.mn""}]"
100 ail,Ulaanbaatar,MN,2015-09-25T00:00:00.000Z,2015-09-25T09:00:00+09:00,so2,3,µg/m³,47.9329056,106.9213833,"[{""name"":""Agaar.mn"",""url"":""http://agaar.mn/""},{""name"":""National Agency of Meteorology and Environmental Monitoring"",""url"":""http://namem.gov.mn""}]"
Coronel Sur,Coronel,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,co,1232,µg/m³,-37.031702,-73.138689,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Colbún S.A""}]"
Bukhiin urguu,Ulaanbaatar,MN,2015-09-25T00:00:00.000Z,2015-09-25T09:00:00+09:00,pm10,16,µg/m³,47.9176056,106.9373611,"[{""name"":""Agaar.mn"",""url"":""http://agaar.mn/""},{""name"":""National Agency of Meteorology and Environmental Monitoring"",""url"":""http://namem.gov.mn""}]"
100 ail,Ulaanbaatar,MN,2015-09-25T00:00:00.000Z,2015-09-25T09:00:00+09:00,co,1494,µg/m³,47.9329056,106.9213833,"[{""name"":""Agaar.mn"",""url"":""http://agaar.mn/""},{""name"":""National Agency of Meteorology and Environmental Monitoring"",""url"":""http://namem.gov.mn""}]"
Misheel expo,Ulaanbaatar,MN,2015-09-25T00:00:00.000Z,2015-09-25T09:00:00+09:00,pm10,9,µg/m³,47.8943389,106.8824722,"[{""name"":""Agaar.mn"",""url"":""http://agaar.mn/""},{""name"":""National Agency of Meteorology and Environmental Monitoring"",""url"":""http://namem.gov.mn""}]"
Bukhiin urguu,Ulaanbaatar,MN,2015-09-25T00:00:00.000Z,2015-09-25T09:00:00+09:00,so2,1,µg/m³,47.9176056,106.9373611,"[{""name"":""Agaar.mn"",""url"":""http://agaar.mn/""},{""name"":""National Agency of Meteorology and Environmental Monitoring"",""url"":""http://namem.gov.mn""}]"
Mongol gazar,Ulaanbaatar,MN,2015-09-25T00:00:00.000Z,2015-09-25T09:00:00+09:00,so2,1,µg/m³,47.9035389,106.8507083,"[{""name"":""Agaar.mn"",""url"":""http://agaar.mn/""},{""name"":""National Agency of Meteorology and Environmental Monitoring"",""url"":""http://namem.gov.mn""}]"
Coronel Norte,Coronel,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,so2,2.958,µg/m³,-37.008669,-73.148086,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Colbún S.A""}]"
Baruun 4 zam,Ulaanbaatar,MN,2015-09-25T00:00:00.000Z,2015-09-25T09:00:00+09:00,pm25,6,µg/m³,47.9153833,106.8941944,"[{""name"":""Agaar.mn"",""url"":""http://agaar.mn/""},{""name"":""National Agency of Meteorology and Environmental Monitoring"",""url"":""http://namem.gov.mn""}]"
100 ail,Ulaanbaatar,MN,2015-09-25T00:00:00.000Z,2015-09-25T09:00:00+09:00,o3,5,µg/m³,47.9329056,106.9213833,"[{""name"":""Agaar.mn"",""url"":""http://agaar.mn/""},{""name"":""National Agency of Meteorology and Environmental Monitoring"",""url"":""http://namem.gov.mn""}]"
Calabozo,Coronel,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,so2,2.714,µg/m³,-36.996430960359,-73.115805357178,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Colbún S.A""}]"
Coronel Sur,Coronel,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,so2,4.024,µg/m³,-37.031702,-73.138689,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Colbún S.A""}]"
Misheel expo,Ulaanbaatar,MN,2015-09-25T00:00:00.000Z,2015-09-25T09:00:00+09:00,o3,3,µg/m³,47.8943389,106.8824722,"[{""name"":""Agaar.mn"",""url"":""http://agaar.mn/""},{""name"":""National Agency of Meteorology and Environmental Monitoring"",""url"":""http://namem.gov.mn""}]"
Bukhiin urguu,Ulaanbaatar,MN,2015-09-25T00:00:00.000Z,2015-09-25T09:00:00+09:00,no2,62,µg/m³,47.9176056,106.9373611,"[{""name"":""Agaar.mn"",""url"":""http://agaar.mn/""},{""name"":""National Agency of Meteorology and Environmental Monitoring"",""url"":""http://namem.gov.mn""}]"
Coronel Sur,Coronel,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,o3,25.73,µg/m³,-37.031702,-73.138689,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Colbún S.A""}]"
Baruun 4 zam,Ulaanbaatar,MN,2015-09-25T00:00:00.000Z,2015-09-25T09:00:00+09:00,no2,35,µg/m³,47.9153833,106.8941944,"[{""name"":""Agaar.mn"",""url"":""http://agaar.mn/""},{""name"":""National Agency of Meteorology and Environmental Monitoring"",""url"":""http://namem.gov.mn""}]"
Mongol gazar,Ulaanbaatar,MN,2015-09-25T00:00:00.000Z,2015-09-25T09:00:00+09:00,pm10,8,µg/m³,47.9035389,106.8507083,"[{""name"":""Agaar.mn"",""url"":""http://agaar.mn/""},{""name"":""National Agency of Meteorology and Environmental Monitoring"",""url"":""http://namem.gov.mn""}]"
Coronel Norte,Coronel,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,pm10,41.67,µg/m³,-37.008669,-73.148086,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Colbún S.A""}]"
Bukhiin urguu,Ulaanbaatar,MN,2015-09-25T00:00:00.000Z,2015-09-25T09:00:00+09:00,pm25,6,µg/m³,47.9176056,106.9373611,"[{""name"":""Agaar.mn"",""url"":""http://agaar.mn/""},{""name"":""National Agency of Meteorology and Environmental Monitoring"",""url"":""http://namem.gov.mn""}]"
Mongol gazar,Ulaanbaatar,MN,2015-09-25T00:00:00.000Z,2015-09-25T09:00:00+09:00,co,363,µg/m³,47.9035389,106.8507083,"[{""name"":""Agaar.mn"",""url"":""http://agaar.mn/""},{""name"":""National Agency of Meteorology and Environmental Monitoring"",""url"":""http://namem.gov.mn""}]"
Coronel Norte,Coronel,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,o3,17.82,µg/m³,-37.008669,-73.148086,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Colbún S.A""}]"
Bukhiin urguu,Ulaanbaatar,MN,2015-09-25T00:00:00.000Z,2015-09-25T09:00:00+09:00,co,1219,µg/m³,47.9176056,106.9373611,"[{""name"":""Agaar.mn"",""url"":""http://agaar.mn/""},{""name"":""National Agency of Meteorology and Environmental Monitoring"",""url"":""http://namem.gov.mn""}]"
Coronel Sur,Coronel,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,pm10,28.33,µg/m³,-37.031702,-73.138689,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Colbún S.A""}]"
100 ail,Ulaanbaatar,MN,2015-09-25T00:00:00.000Z,2015-09-25T09:00:00+09:00,pm10,18,µg/m³,47.9329056,106.9213833,"[{""name"":""Agaar.mn"",""url"":""http://agaar.mn/""},{""name"":""National Agency of Meteorology and Environmental Monitoring"",""url"":""http://namem.gov.mn""}]"
Coronel Norte,Coronel,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,co,361.8,µg/m³,-37.008669,-73.148086,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Colbún S.A""}]"
Camden Kerbside,London,GB,2015-09-25T00:00:00.000Z,2015-09-25T01:00:00+01:00,pm25,8,µg/m³,51.54421,-0.175269,
London Bloomsbury,London,GB,2015-09-25T00:00:00.000Z,2015-09-25T01:00:00+01:00,pm25,3,µg/m³,51.52229,-0.125889,
London Haringey Priory Park South,London,GB,2015-09-25T00:00:00.000Z,2015-09-25T01:00:00+01:00,o3,26,µg/m³,51.584128,-0.125254,
London Marylebone Road,London,GB,2015-09-25T00:00:00.000Z,2015-09-25T01:00:00+01:00,o3,4,µg/m³,51.52253,-0.154611,
Camden Kerbside,London,GB,2015-09-25T00:00:00.000Z,2015-09-25T01:00:00+01:00,pm10,10,µg/m³,51.54421,-0.175269,
London Bloomsbury,London,GB,2015-09-25T00:00:00.000Z,2015-09-25T01:00:00+01:00,no2,43,µg/m³,51.52229,-0.125889,
London Harrow Stanmore,London,GB,2015-09-25T00:00:00.000Z,2015-09-25T01:00:00+01:00,pm25,5,µg/m³,51.617333,-0.298777,
Tower Hamlets Roadside,London,GB,2015-09-25T00:00:00.000Z,2015-09-25T01:00:00+01:00,no2,44,µg/m³,51.52253,-0.042155,
Haringey Roadside,London,GB,2015-09-25T00:00:00.000Z,2015-09-25T01:00:00+01:00,no2,39,µg/m³,51.5993,-0.068218,
London Harlington,London,GB,2015-09-25T00:00:00.000Z,2015-09-25T01:00:00+01:00,pm10,8,µg/m³,51.48879,-0.441614,
London Westminster,London,GB,2015-09-25T00:00:00.000Z,2015-09-25T01:00:00+01:00,no2,15,µg/m³,51.49467,-0.131931,
London Bloomsbury,London,GB,2015-09-25T00:00:00.000Z,2015-09-25T01:00:00+01:00,o3,16,µg/m³,51.52229,-0.125889,
London Harlington,London,GB,2015-09-25T00:00:00.000Z,2015-09-25T01:00:00+01:00,no2,10,µg/m³,51.48879,-0.441614,
London N. Kensington,London,GB,2015-09-25T00:00:00.000Z,2015-09-25T01:00:00+01:00,o3,20,µg/m³,51.52105,-0.213492,
La Florida,Talca,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,o3,17.44,µg/m³,-35.435141887663,-71.678261499336,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Ealing Horn Lane,London,GB,2015-09-25T00:00:00.000Z,2015-09-25T01:00:00+01:00,pm10,32,µg/m³,51.51895,-0.265617,
London Eltham,London,GB,2015-09-25T00:00:00.000Z,2015-09-25T01:00:00+01:00,o3,23,µg/m³,51.45258,0.070766,
London Hillingdon,London,GB,2015-09-25T00:00:00.000Z,2015-09-25T01:00:00+01:00,o3,8,µg/m³,51.49633,-0.460861,
London Teddington,London,GB,2015-09-25T00:00:00.000Z,2015-09-25T01:00:00+01:00,no2,12,µg/m³,51.42099,-0.339647,
La Florida,Talca,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,co,1488,µg/m³,-35.435141887663,-71.678261499336,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
London Bexley,London,GB,2015-09-25T00:00:00.000Z,2015-09-25T01:00:00+01:00,no2,19,µg/m³,51.46603,0.184806,
London Harlington,London,GB,2015-09-25T00:00:00.000Z,2015-09-25T01:00:00+01:00,pm25,8,µg/m³,51.48879,-0.441614,
London N. Kensington,London,GB,2015-09-25T00:00:00.000Z,2015-09-25T01:00:00+01:00,pm25,5,µg/m³,51.52105,-0.213492,
Haringey Roadside,London,GB,2015-09-25T00:00:00.000Z,2015-09-25T01:00:00+01:00,pm25,8,µg/m³,51.5993,-0.068218,
London Eltham,London,GB,2015-09-25T00:00:00.000Z,2015-09-25T01:00:00+01:00,no2,10,µg/m³,51.45258,0.070766,
London Marylebone Road,London,GB,2015-09-25T00:00:00.000Z,2015-09-25T01:00:00+01:00,pm25,17,µg/m³,51.52253,-0.154611,
La Florida,Talca,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,so2,6.812,µg/m³,-35.435141887663,-71.678261499336,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
London Bexley,London,GB,2015-09-25T00:00:00.000Z,2015-09-25T01:00:00+01:00,pm25,9,µg/m³,51.46603,0.184806,
London Harlington,London,GB,2015-09-25T00:00:00.000Z,2015-09-25T01:00:00+01:00,o3,32,µg/m³,51.48879,-0.441614,
London N. Kensington,London,GB,2015-09-25T00:00:00.000Z,2015-09-25T01:00:00+01:00,no2,39,µg/m³,51.52105,-0.213492,
San Fernando,San Fernando,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,o3,13.92,µg/m³,-34.579759917069,-70.989685186508,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Las Encinas Temuco,Temuco,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,co,343.4,µg/m³,-38.74869912298,-72.620788228172,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
London Hillingdon,London,GB,2015-09-25T00:00:00.000Z,2015-09-25T01:00:00+01:00,no2,48,µg/m³,51.49633,-0.460861,
London Teddington,London,GB,2015-09-25T00:00:00.000Z,2015-09-25T01:00:00+01:00,o3,42,µg/m³,51.42099,-0.339647,
Viña del Mar,Viña del Mar,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,o3,7.84,µg/m³,-33.020419817382,-71.550092842922,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
London Marylebone Road,London,GB,2015-09-25T00:00:00.000Z,2015-09-25T01:00:00+01:00,no2,89,µg/m³,51.52253,-0.154611,
Rengo,Rengo,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,o3,42.92,µg/m³,-34.394541417902,-70.852981542328,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
La Florida,Talca,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,no2,28.95,µg/m³,-35.435141887663,-71.678261499336,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Padre Las Casas II,Padre las Casas,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,co,572.4,µg/m³,-38.764767451719,-72.598795682209,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Los Vientos,Llayllay,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,pm10,21.87,µg/m³,-32.833639,-70.99693,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""AESGENER S.A""}]"
Pudahuel,Pudahuel,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,co,1032,µg/m³,-33.437811379126,-70.750171233135,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
El Bosque,El Bosque,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,co,991,µg/m³,-33.547099645619,-70.666204101852,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Sierra Gorda ,Sierra Gorda,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,pm25,8,µg/m³,-22.888724142633,-69.318140714844,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Sierra Gorda SCM""}]"
Independencia,Independencia,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,o3,3.035,µg/m³,-33.422301,-70.651162,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
El Bosque,El Bosque,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,so2,3.568,µg/m³,-33.547099645619,-70.666204101852,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Gobernación,Tocopilla,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,so2,5.885,µg/m³,-22.093082,-70.20121,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Norgener S.A""}]"
Quintero Centro,Quintero,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,o3,13.84,µg/m³,-32.786170116898,-71.531435220917,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""CENTRO QUINTERO""}]"
Parque O'Higgins,Santiago,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,co,314,µg/m³,-33.464142,-70.660797,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Cerro Navia,Cerro Navia,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,o3,2.868,µg/m³,-33.433089610143,-70.732147868717,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Quilicura,Quilicura,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,o3,3.044,µg/m³,-33.365775677885,-70.748288055225,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Los Vientos,Llayllay,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,co,470.5,µg/m³,-32.833639,-70.99693,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""AESGENER S.A""}]"
Quintero Centro,Quintero,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,no2,69.22,µg/m³,-32.786170116898,-71.531435220917,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""CENTRO QUINTERO""}]"
Cerrillos,Cerrillos,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,co,1855,µg/m³,-33.492848789461,-70.719440279762,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Puente Alto,Puente Alto,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,no2,18.8,µg/m³,-33.591390623022,-70.594788,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Quintero Centro,Quintero,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,so2,3.419,µg/m³,-32.786170116898,-71.531435220917,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""CENTRO QUINTERO""}]"
Cerro Navia,Cerro Navia,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,co,1185,µg/m³,-33.433089610143,-70.732147868717,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Talagante,Talagante,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,so2,10.41,µg/m³,-33.673752071375,-70.953064737434,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Gobernación,Tocopilla,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,pm10,140.2,µg/m³,-22.093082,-70.20121,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Norgener S.A""}]"
Bomberos,Tocopilla,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,pm25,51.5,µg/m³,-22.111064,-70.210828,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Norgener S.A""}]"
Los Vientos,Llayllay,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,so2,36.99,µg/m³,-32.833639,-70.99693,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""AESGENER S.A""}]"
Independencia,Independencia,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,no2,68.1,µg/m³,-33.422301,-70.651162,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
El Bosque,El Bosque,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,no2,54.31,µg/m³,-33.547099645619,-70.666204101852,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Talagante,Talagante,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,co,1154,µg/m³,-33.673752071375,-70.953064737434,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Los Vientos,Llayllay,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,o3,46.37,µg/m³,-32.833639,-70.99693,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""AESGENER S.A""}]"
Puente Alto,Puente Alto,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,o3,40.09,µg/m³,-33.591390623022,-70.594788,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Lota urbana,Coronel,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,so2,3.495,µg/m³,-37.077619809695,-73.154136498581,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Endesa Chile""}]"
Quintero Centro,Quintero,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,co,373.2,µg/m³,-32.786170116898,-71.531435220917,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""CENTRO QUINTERO""}]"
Pudahuel,Pudahuel,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,no2,53.68,µg/m³,-33.437811379126,-70.750171233135,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Cerro Navia,Cerro Navia,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,no2,59.95,µg/m³,-33.433089610143,-70.732147868717,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
Quilicura,Quilicura,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,co,389.7,µg/m³,-33.365775677885,-70.748288055225,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Ministerio del Medio Ambiente""}]"
