location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
Beijing US Embassy,Beijing,CN,2015-08-31T00:00:00.000Z,2015-08-31T08:00:00+08:00,pm25,35,µg/m³,39.95,116.47,
Camden Kerbside,London,GB,2015-08-31T00:00:00.000Z,2015-08-31T01:00:00+01:00,pm10,17,µg/m³,51.54421,-0.175269,
London Bloomsbury,London,GB,2015-08-31T00:00:00.000Z,2015-08-31T01:00:00+01:00,no2,55,µg/m³,51.52229,-0.125889,
London Marylebone Road,London,GB,2015-08-31T00:00:00.000Z,2015-08-31T01:00:00+01:00,pm25,11,µg/m³,51.52253,-0.154611,
London Teddington Bushy Park,London,GB,2015-08-31T00:00:00.000Z,2015-08-31T01:00:00+01:00,pm25,12,µg/m³,51.425286,-0.345606,
Haringey Roadside,London,GB,2015-08-31T00:00:00.000Z,2015-08-31T01:00:00+01:00,pm25,14,µg/m³,51.5993,-0.068218,
London Harrow Stanmore,London,GB,2015-08-31T00:00:00.000Z,2015-08-31T01:00:00+01:00,pm25,8,µg/m³,51.617333,-0.298777,
London N. Kensington,London,GB,2015-08-31T00:00:00.000Z,2015-08-31T01:00:00+01:00,o3,38,µg/m³,51.52105,-0.213492,
Camden Kerbside,London,GB,2015-08-31T00:00:00.000Z,2015-08-31T01:00:00+01:00,pm25,13,µg/m³,51.54421,-0.175269,
London Bloomsbury,London,GB,2015-08-31T00:00:00.000Z,2015-08-31T01:00:00+01:00,o3,21,µg/m³,51.52229,-0.125889,
London Marylebone Road,London,GB,2015-08-31T00:00:00.000Z,2015-08-31T01:00:00+01:00,pm10,14,µg/m³,51.52253,-0.154611,
London Westminster,London,GB,2015-08-31T00:00:00.000Z,2015-08-31T01:00:00+01:00,no2,23,µg/m³,51.49467,-0.131931,
London Bloomsbury,London,GB,2015-08-31T00:00:00.000Z,2015-08-31T01:00:00+01:00,pm25,10,µg/m³,51.52229,-0.125889,
London Haringey Priory Park South,London,GB,2015-08-31T00:00:00.000Z,2015-08-31T01:00:00+01:00,no2,15,µg/m³,51.584128,-0.125254,
London N. Kensington,London,GB,2015-08-31T00:00:00.000Z,2015-08-31T01:00:00+01:00,pm10,25,µg/m³,51.52105,-0.213492,
Ealing Horn Lane,London,GB,2015-08-31T00:00:00.000Z,2015-08-31T01:00:00+01:00,pm10,21,µg/m³,51.51895,-0.265617,
London Eltham,London,GB,2015-08-31T00:00:00.000Z,2015-08-31T01:00:00+01:00,o3,37,µg/m³,51.45258,0.070766,
London Marylebone Road,London,GB,2015-08-31T00:00:00.000Z,2015-08-31T01:00:00+01:00,no2,27,µg/m³,51.52253,-0.154611,
Tower Hamlets Roadside,London,GB,2015-08-31T00:00:00.000Z,2015-08-31T01:00:00+01:00,no2,38,µg/m³,51.52253,-0.042155,
Camden Kerbside,London,GB,2015-08-31T00:00:00.000Z,2015-08-31T01:00:00+01:00,no2,37,µg/m³,51.54421,-0.175269,
London Eltham,London,GB,2015-08-31T00:00:00.000Z,2015-08-31T01:00:00+01:00,pm25,11,µg/m³,51.45258,0.070766,
London Marylebone Road,London,GB,2015-08-31T00:00:00.000Z,2015-08-31T01:00:00+01:00,o3,29,µg/m³,51.52253,-0.154611,
